,text,repetido,labels,labels_int
28,Boa tarde. Fiz uma compra no dia 11/06 pedido num  142748. Com previsão de entrega em ATE 5 dias úteis. N consigo ter informação pelo site do meu pedido e ligando na Central ninguém atende. Vcs podem me dar uma posição sobre minha entrega ?,False,,
29,Eu que quero ganhar do meu  amor rsrsr,False,,
30,Pitu,False,,
31,Qual o valor?,False,,
32,Oba o meu chegou hoje  😂😂😂😂🥃🥃🥃🥃🥃🥃🥃,False,,
33,QUAL PREÇO,False,,
34,Mês que vem vou fazer umas compras aí hein! 👏👏👏👏,False,[0. 0. 1.],2.0
35,Sandra Diniz,False,,
36,Leila Cristina rsrs,False,,
37,Laryna Mary,False,,
38,Laryna😍,False,,
39,Como que chama esses recipientes <<,False,,
40,O negrita é melhor,False,,
41,Egilio Curtolo...me dá um desse!!? Rsrsrsrs,False,,
42,José Gomes Junior aquela que tem na tua casa ?,False,,
43,"Eu também tenho: Uma cachaça 12 anos, e certificada pela AMPAQ.",False,,
44,Eu quero saber o preço  do melforte,False,,
45,Bom dia,False,,
46,"Vcs tem
Ponche kuba!?",False,,
47,Camila Isabela,False,,
48,Essa é de qualidade e a verdadeira bebida original.,False,,
49,😋,False,,
50,That's ir,False,,
51,Qnto o de mel?,False,,
52,só se for marie Brizard .... Daniela Reis,False,,
53,Lauro Guedes Junior,False,,
54,Valor,False,,
55,Preciso de uma dessa 🙏,False,,
56,Deu agua na boca!!,False,,
57,Icaro Guilherme,False,,
58,queria saber o preço,False,,
59,Queria compra whisky bourbon,False,,
60,É uma delícia. 😍,False,,
61,Gabriela Juliane,False,,
62,Bruno Passarine....será q encontramos ??,False,,
63,Tem licor midori !? E ponche kubA!?,False,,
64,Eu amo essas bebidas,False,,
65,contato? meu waht 96 981101101,False,,
66,Amooo,False,,
67,Amanda Correa,False,,
68,Danielle Dias iai ?,False,,
69,licor 43,False,,
70,contato? meu waht 96 981101101,False,,
71,Rafaela Perin e Roze Tomaz e Natani Cristina Oliveira Camargo😉,False,,
72,Marcelo Oliveira Leo Visceral Jose Edmar Rodrigues Rodrigo Correa,False,,
73,Dae Cássio Carniato vamo raxa 1,False,[0. 1. 0.],1.0
74,quanto tempo tem isso meu amigo ? e outra eu pretendo compra uma bebida chama bombay blue gin se vc puder me recomendar um site para comprar fico agradecido.,False,,
75,"Oi, seu problema foi resolvido? Te devolveram o dinheiro?! Estava pensando em comprar nesse site mas agora estou insegura...",False,,
76,parece bom Suellen Nunes,False,,
77,Leonardo KKKKKKKKKKKKKK,False,,
78,eita,False,,
79,Renan Ertner,False,,
80,Kkkkkkk,False,,
81,me ve 2 pro dia 3,False,,
82,Gisele Freitas,False,,
83,Daiane Salgado Bora? rs,False,,
84,Renan Ertner,False,,
85,Tey Simao,False,,
86,Legal essa loja. Passa cartão e os preços são bons,False,,
87,"Por fim, acabei efetuando a compra, e recebi meu produto certinho, dentro do prazo de entrega, fiquei satisfeita. Voltarei a fazer compras.",False,,
88,como faço pra comprar?,False,,
89,Ainda tem eu queroooooo,False,,
90,Rafael Teixeira,False,,
91,Giovani Caviquioli,False,,
92,Compra ae pra mim Juliana Borges,False,,
93,Tem ?,False,,
94,Joice Carla Alexandre Borges Hilaria Nunes Luciano Medina Batista Jarbas Coelho Olha :D,False,,
95,Esta mais caro q no mercado aki na minha cidade!,False,,
96,Marco Baggio,False,,
97,"Olá Gregório,",False,,
98,"Quando o cliente entra em contato por fone ou e-mail o pessoal envia as imagens e opções.

Fico à disposição.

Att.
Lacad Importados Ltda.
www.casadabebida.com.br
(43)3432-5510
(43)3432-6413",False,,
99,Igor Lima,False,,
100,Michael Kyle,False,,
101,"Como faço pra comprar aqui? 
 Alguém pode mim responder?",False,,
102,Brover 1000 graul,False,,
103,Hummmm que  delicia,False,,
104,"O seu está com os dias contados, Carlos Wagner Camargo Kaito!!!",False,,
105,200 REAL DE CADA DA PRA NOIS COMPRAR Matheus Coutinho Diney Witer,False,,
106,Rochelle Bergamo Vinicius Camargo Renato Giansante Amauri Gomes,False,,
107,Reginaldo Romanchuc,False,,
108,"Olá Evaldo,",False,,
109,http://www.casadabebida.com.br/whisky/whisky-jack-daniels-honey/,False,,
110,"R$119,90.",False,,
111,Ele acompanha caixa ?,False,,
112,valor?,False,,
113,Tá quanto uma garrafa,False,,
114,"Bom dia Tuttti

Agradecemos o contato

Houve um erro dos Correios no momento da postagem, e infelizmente esse objeto foi para o destino errado. Pedimos desculpas pelo transtorno, e ressaltamos que os Correios estão cientes desse erro e já estão providenciando o retorno do pedido para o RS.

Atenciosamente,

Casa da Bebida
www.casadabebida.com.br
(43) 3432-5510 
(43) 3432-6413",False,,
115,Evertom Almeida João Victor Nohama,False,,
116,"Como é que conseguem compartilhar e curtir uma empresa que não entrega a mercadoria adquirida no prazo, nem tampouco dá satisfação ao consumidor.",False,,
117,Adriano Ambrosino,False,[0. 1. 0.],1.0
118,Muito bom este licor :-),False,,
119,quanto e?,False,,
120,"Eu li, e depois analisei melhor, e encontrei o ERRO!
Não temos essa quantidade de Pessoas no Mundo!  ;)

Trágico!",False,,
121,Ramona Ronchesel :x,False,,
122,Boa kkk,False,,
123,Ilza Brenda Patrícia Paiva Raíssa Ribeiro,False,,
124,Kd tu????,False,,
125,Vem pro papão,False,,
126,valha mim deus! vou morrer,False,,
127,Eu quero!,False,,
128,Eu também rs,False,,
129,Roseli Aparecida Marcelino eu quero 😍😍😍😍,False,,
130,Luana Correa essa e  pra vc,False,,
131,não hj...rsrs,False,,
132,eaeaekaeopaekoaeke isso ae,False,,
133,esto bebeno uma agora............,False,,
134,c claro,False,,
135,Rosane Ramos hahaha,False,,
136,Quero ver quem vai me dá.... kkkkk Grazielle Ramos Nohama,False,,
137,nao gosto e vcskkkkkkkkkkkkkk,False,,
138,Marshall Brim Jessica Guarniéri Borges Francine Martins acho q vamos ter q tentar issoae...,False,,
139,A tampa,False,,
140,"Já achei os 7  :) Adorei , manda mais !!!!",False,,
141,Beatriz Nichio Maria Eduarda Rossini Zottele,False,,
142,hmmmmm...,False,,
143,Com certeza né Daniel Schwade. Tai dani o q. eu sempre falo.,False,,
144,É muito bom 👏👏👏,False,,
145,Tua cara!,False,,
146,Davi Ecleidson Ronis Jorge Rafael Raí é pra vcs !!,False,,
147,Pra mim??? Tu ta é doido mha...nem tinha visto a outra coisa...aliás nem sem o q é  outra coisa kkkkkkkkkk.... :p :x,False,,
148,kkkkkkkkkkkkkkkkk li cerveja juro por deus kkk,False,,
149,Essa foi boa rsrsrsrsrs,False,,
150,Os olhos veem o q o fígado pede 🍻✌,False,,
151,Matheus Nohama João Victor Nohama Rosane Ramos,False,,
152,Será que sou uma??? Kkkkkk li errado kkkkk Grazielle Ramos Nohama,False,,
153,Henrique Ferreira Edu Coelho Andre Vona Andrei Mizael Felipe Ana Japa Felipe,False,,
154,Juro que eu li cereja 🙊,False,,
155,"Olá Detlef,",False,,
156,"Seu pedido foi entregue conforme cod. de rastreamento.

Fico à disposição.

Att.

Josiane Oliveira
Lacad Importados Ltda.
(43) 3432-5510
(43) 3432-6413
www.casadabebida.com.br
josi@casadabebida.com.br",False,,
157,Até ja bebi a metade da garrafa hahahahah valeu!!,False,,
158,Agora que você fala isso kkkkk,False,,
159,Tua cara! Jadelson Lucas,False,,
160,kkkkkk bem eu,False,,
161,ne tbm acho kkkkkkkkk,False,,
162,Rodrigo Rocha,False,,
163,"Hehe,ai sim parceiro! De patrão!!!!!",False,,
164,Que família linda! KKKKKKKKKKK,False,[0. 0. 1.],2.0
165,Eh sim...nem gosto!,False,,
166,Piorou Eu! Kkkkkkkkkkkkkkkk,False,,
167,Seiii Erlon Sodré kkkk,False,,
168,Kkkkkkkkk...só tem artista! A glogo fica na sola por aqui.,False,,
169,Concorda Aline Mendonça?,False,,
170,Me gusta mucho,False,,
171,mucho.nao te dou duro,False,,
172,Diego Rafael Souza vish,False,,
173,o mano Willian Luzzi e o energético estimula oque?,False,,
174,o energético fica para a próxima aula. kkk,False,,
175,Muito bom,False,,
176,Olá Roniberto.,False,,
177,Seu pedido foi enviado e o cod. de rastreamento dos Correios foi enviado para seu e-mail. Ficamos à disposição.,False,,
178,Coisa bonita demais.,False,,
179,Este eu aprecio,False,,
180,Kkkkkkk. Michel Santoro,False,,
181,hoje tem e nao vai ser pouca,False,,
182,Rafael Fernandes Ederson Queiroz Tales Amâncio Elson Amâncio Pedro Santos Mathews Pinheiro,False,,
183,Alvaro Phellipe Alesson Tôrres Ecleidson Costa Raí Vieira João Neto Maciel Giancarlo Porfírio essa é a dica do dia !!,False,,
184,eitaaa eita que esse fds promete atenta demoin 89,False,,
185,olha sabado meninas.. Halana Pineda ... Allan E. Tamires ... Suellen Tamarozi Feijó,False,,
186,Meu Deus!!!!,False,,
187,Boa pedida,False,,
188,"Oi Luan,",False,,
189,Whisky Johnnie Walker Red Label R$69.90 - O Sr. poderá realizar a compra no link - http://www.casadabebida.com.br/whisky/,False,,
190,"Bom dia Fernanda, tentamos contato nos telefones cadastrados mas não obtivemos êxito. Pedimos que aguarde pois estará recebendo o seu pedido em breve, porém devido a um atraso no recebimento do Saque Haiku nós estamos lhe enviando somente 01 garrafa do produto, mas assim que chegar reenviaremos o que falta. Pedimos desculpas pelo transtorno Atenciosamente Casa da Bebida",False,,
191,obrigada!,False,,
192,"Bom dia Camila, seu pedido já está cancelado conforme solicitação. Obrigado pelo contato Att Casa da Bebida",False,,
193,"Olhei agora na imagem do site e nela consta esses acabamentos de borracha, poderiam verificar o que aconteceu, por gentileza? http://www.casadabebida.com.br/grandes-tamanhos/whisky-johnnie-walker-red-label-4-5-litros/",False,,
194,"Oi Rodrigo
Desculpe-nos pelo transtorno.
Conferimos em outros Johnnie Walker 4,5 Litros em estoque e não possui a borracha mencionada, o produto foi recebido dessa maneira do fornecedor. Com relação a quebra do suporte pedimos que envie uma foto para verificação e possível troca.
Email: contato@casadabebida.com.br
Att.
Lacad Importados Ltda.
www.casadabebida.com.br",False,,
195,kkkk..essa é boa!!,False,,
196,"Suynan De Paula Silva, Elba Brito e Camila Góes pra vcs!!!!*rs",False,,
197,cuidado com a pressão garoto,False,,
198,"Rodrigo, realmente foi constatado uma falha e foi solucionado. Pedimos que aguarde pois estará recebendo o seu pedido em breve. Desculpe-nos pelo transtorno. 
Att casa da bebida",False,,
199,"Conforme contato do se. Laion, Td resolvido. Grato pela atenção e rápida resolução.",False,,
200,Nós que agradecemos a preferência e compreensão.                            Att Casa da Bebida,False,,
201,"Bom dia Rodrigo, conforme contato telefonico, estamos aguardando uma posição do gerente da casa da bebida, até a tarde nós entraremos em contato com o Sr. Att casa da bebida",False,,
202,"Boa tarde, o sr. Laion entrou em contato e disse q o pedido seria enviado. Grato pela presteza e a rápida resolução.",False,,
203,por riso escolher bem,False,,
204,"Bom dia Halrison, nosso site é confiável sim, são pedidas essas  informações no cadastro para não haver divergências com a compra e para que não coincida com os cadastros de outros clientes, pois todos os pedidos são passados primeiramente por uma análise interna para que a compra esteja totalmente segura, ou seja, livre de fraudes. Informamos que todos os produtos entram e saem com Nota Fiscal, garantindo a boa procedência da empresa que já atua no mercado a mais de 6 anos. Atenciosamente Casa da Bebida",False,,
205,Obrigado!,False,[0. 0. 1.],2.0
206,por nada,False,,
207,Te lembra oqee Marielle Santos isso ae kkkkkkk :3,False,,
208,"KKKKKKKKKKK, néeh Francielle Cristina bem sua cara isso viiu :]",False,,
209,A página da Orloff me ensinou sobre isso já HAHAHAHA adoro aquela página!,False,,
210,"né Amanda Azevedo, Romulo Meirelles e Rafael Meirelles.",False,,
211,é bem assim mesmo kkkkkkkkkkkkkkk,False,,
212,olha só acho q isso tudo faz sentido!! HSUAHUAHUSASAUSAUSAS,False,,
213,kkkkkkkkkkkkk,False,,
214,kkkkkkkkkkk,False,,
215,Ah escolhida foi o red e o black...,False,,
216,Entao retira os dois e o resto aceito de presentee :-D,False,,
217,kkkkkkkkk..se fosse só isso estava fácil...!:-),False,,
218,Double,False,,
219,"Laura Shimoyama, Rafael Costa Diego Gonçalves Letícia Campos",False,,
220,Rafael Costa n sei pq mais lembrei de vc,False,,
221,kkkkkkkkkkkkkkkkkkkkkkkkkkkkk' Porquee seera néé '-' FDM!,False,,
222,pior lembrei do rafa tb ate olhei p ver se o felipe marco vc kkkkkkkk,False,,
223,kkkkkkkkkkkkkkkkkkkkkkk --' Porque 6 Faiiz isso comiigo '-',False,,
224,Hoje já misturei... eheh,False,,
225,Disso ai tu endende ne.kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,False,,
226,RENATO OPÇÃO,False,,
227,Junnior,False,,
228,Kd??,False,,
229,Gostei dessa,False,,
230,"Bom dia. Sim, enviamos.",False,,
231,Rebeca Mauri e Thomas Loss Menezes,False,,
232,Essa é luxo,False,,
233,"To até com dó de tomar a minha, haha",False,,
234,Lá em casa...Wanderley acabou com uma....k,False,,
235,Thyago Gouvea,False,,
236,"Wanderley é sinistro, haha",False,,
237,kkkkk,False,,
238,João Victor Nohama kkkkkkkkk,False,,
239,kkk,False,,
240,E disso q preciso kkkkkkkkkkk,False,,
241,ta uma boa...rsrsrs,False,,
242,"taí uma boa...rsrsrs Eder. Tiago Neto,Marcio,Alcides......",False,,
243,pode crer.. vamos copiar vamo.... kkkkk,False,,
244,tu tem bb em cima de um carra pipa,False,,
245,Kkkkk,False,,
246,bom dia?,False,,
247,doido de goro,False,,
248,Eu nao tentei sinda kkkk,False,,
249,E para quem não fica bêbado qual é o tempo?KKKKKKKKKKKKKKKKKKKK,False,,
250,kkkkkkkkkkkkk!!! Nossa turma,False,,
251,Elaine Delboni olha que romântico,False,,
252,é a sua cara,False,,
253,"só funciona com paredes, não com bagagem...pode voltar a realidade !",False,,
254,se eu beber 5 copos de leite eu me cago todo.kkkkkk,False,,
255,kkkkk,False,,
256,"Kkkkk é assim mesmo! !!
Fazer o q?",False,,
257,Jorge Pessoa lembrei de vc uahauhau,False,,
258,kkkk,False,,
259,kkkkkkkkkkkk..........essa é foda mano......kkkkkkkkkkk,False,,
260,kkkkkkkkkk... Nível 10!,False,,
261,Pior que é assim mesmo....cerveja e futebol é tudo para muitos homens.....,False,,
262,kkkkk..... pode crê...,False,[0. 1. 0.],1.0
263,Muito bom!!,False,,
264,E vero . . .,False,,
265,que gostosa  aí sim,False,[0. 0. 1.],2.0
266,"bem assim eu fico quando a Lidiane David diz que não bebe, quando a Madeleine Pires Bottega mente que não sabe do etanóis e quando a Rita Rosa diz que é só um golinho...",False,,
267,kkkkkkkkkkkkkkkkkkkkkkk EU NÃO BEBO PORRA!,False,,
268,"Nem eu bebo essa porcaria Xuxa, nem q me obriguem! Kkk",False,,
269,kkkkkkkkkkk....pió!,False,,
270,Eu nao bebo mais essa foi boa kkkk,False,,
271,Felipe Rosa Madeleine Pires Bottega Fernanda Branca Rita Rosa Lidiane David Suzi Cesarino,False,,
272,"???Não entendi, parece até que eu bebo!",False,,
273,"Ué,eu tbm não bebo?!Que estranho kkkkkk",False,,
274,rsrsrs,False,,
275,Ae Tamerson Araujo qual deles vc se encontra????,False,,
276,Bêbado parceiro kkkkkk,False,,
277,MUITO BOA AMIGA !!!  acho que quem bebe já atuou de todas as formas kkkkkkkkkkkk,False,,
278,"kkkkkkkkkkkkkkkkkkkkkkkk...Luciana Nunes, tbm é Nômade rsrsrsrs..Adoreiii",False,,
279,Celsinhoooooooooooool..... BIRITEIRO de PLANTÂO... amo.com.br,False,,
280,"Guilherme, Expedito, Alex, Aldo, Rânderson, Ranielson...",False,,
281,Kk Todo mundo pira mesmo com tudo isso ae..,False,,
282,é de dar água na boca,False,,
283,Levi Alecio Dutra nem preciso fala nada néh,False,,
284,otima moradia,False,[0. 0. 1.],2.0
285,Espero que vcs não tenham o mesmo problema com eles. Vide post acima.,False,,
286,"Estou querendo comprar pelo site mas não conheço, não mandaram os whiskys ou faltou só as canetas com os bonés?? Fico grato se puder me responder....",False,,
287,Foi a segunda comprar e faltou o boné.,False,,
288,os bonés.,False,,
289,comprei esse kit veio td certo pra mim.,False,,
290,eu querooooo,False,[0. 0. 1.],2.0
291,ghuahuaua bem dessa :p,False,,
292,muito maneiro,False,,
293,Puts!!! Quero os três de uma vez só!!! Tem como???hahahaha,False,,
294,Amizade com leite é até uma ofensa...,False,,
295,Olha aew Joelmir e Railsonei... A Bebida do Rubau (Rubens)!!! Hehe,False,,
296,uhuuulll o Rubal e potenciaaa..kkk,False,,
297,Ummmmmmmmmm,False,,
298,Lembrei de vc Rubens ...,False,,
299,Olá Analder tudo bom? Temos certeza que você fará um bom esquenta com os seus produtos!,False,,
300,Já garanti meu kit rsrs,False,,
301,Vishhhhhhh!!!! Acontece nas melhores baladas KKKKKKKKKKKKK,False,,
302,"Olá Athos, tudo bom? Infelizmente o prazo máximo para responder as nossas tentativas de comunicação são de 7 dias, assim como mostra o regulamento. Hoje realizamos o último sorteio da promoção e já enviamos o número do cupom de desconto para um novo ganhador. Esperamos que você tenha se recuperado dos problemas de saúde e desejamos uma boa sorte para concorrer nossas promoções futuras. Abraço da Equipe Casa da Bebida!",False,,
303,Oba... Pelo menos desta vez eu não vou perder o prazo... Tô com sorte!!! Agora é só esperar o cupom chegar pra marcar o meu esquenta!!!!,False,,
304,"Analder Magalhães Honório realmente você estava com sorte! Já enviamos o número do seu cupom, juntamente com a explicação de como utiliza-lo, qualquer dúvida é só entrar em contato conosco.",False,,
305,"Ok, já recebi... vou la loja pra ver os produtos! Obrigado pela atenção!",False,[0. 0. 1.],2.0
306,Os produtos chegaram...,False,,
307,Analder Magalhães Honório esperamos que você faça um bom uso dos produtos.,False,,
308,"Olá Marco, tudo bom? O seu pedido já se encontra nos correios da sua cidade, o prazo máximo para entrega é até o dia 15/03 e provavelmente ele será entregue em breve, antes mesmo da data prevista!",False,,
309,"ola,
obrigado por me esclarecer e pela sua atenção!!!",False,,
310,Oba... Pelo menos desta vez eu não vou perder o prazo... Tô com sorte!!! Agora é só esperar o cupom chegar pra marcar o meu esquenta!!!!,False,,
311,"Analder Magalhães Honório realmente você estava com sorte! Já enviamos o número do seu cupom, juntamente com a explicação de como utiliza-lo, qualquer dúvida é só entrar em contato conosco.",False,[0. 1. 0.],1.0
312,"Ok, já recebi... vou la loja pra ver os produtos! Obrigado pela atenção!",False,,
313,Os produtos chegaram...,False,,
314,Analder Magalhães Honório esperamos que você faça um bom uso dos produtos.,False,,
315,O que é esse tal de Cranberry ein??,False,,
316,"Olá Thiago Hayköu é um suco, não muito encontrado no Brasil, nesse caso você pode substituir por framboesa, que também ficará delicioso. http://www.casadabebida.com.br/sucos/suco-juxx-cranberry/",False,,
317,Valew pessoal! Abraço e boas vendas!,False,,
318,Ilustração do Fabio Rex e não sei porque vocês colocaram o logo de vocês.,False,,
319,"Olá Phellipe Wanderley obrigado por nos divulgar a real fonte...essa imagem foi encontrada em um banco de dados de imagens públicas, só que a receita estava em inglês e foi adaptada para o português. Porém, é ótimo saber quem foi o real criador, obrigado mais uma vez!",False,,
320,;),False,[0. 1. 0.],1.0
321,O que é esse tal de Cranberry ein??,False,,
322,"Olá Thiago Hayköu é um suco, não muito encontrado no Brasil, nesse caso você pode substituir por framboesa, que também ficará delicioso. http://www.casadabebida.com.br/sucos/suco-juxx-cranberry/",False,,
323,Valew pessoal! Abraço e boas vendas!,False,,
324,Ilustração do Fabio Rex e não sei porque vocês colocaram o logo de vocês.,False,,
325,"Olá Phellipe Wanderley obrigado por nos divulgar a real fonte...essa imagem foi encontrada em um banco de dados de imagens públicas, só que a receita estava em inglês e foi adaptada para o português. Porém, é ótimo saber quem foi o real criador, obrigado mais uma vez!",False,,
326,;),False,,
327,e os 50ml de champanhe?,False,,
328,"Olá Alex Silva, desculpe o erro, o champanhe  vai junto batida do rum prata, suco de abacaxi e o suco de laranja.",False,,
329,"Olá Marcia, faça um ótimo esquenta esse final de semana com os amigos então!",False,,
330,obrigada!!!!!,False,,
331,HAUHAU..,False,,
332,kkkkkkkk,False,,
333,Bemmmm por ai mesmo kkk,False,,
334,parece augus amigos meu kkkkkkk,False,,
335,Teremos novos sorteios?,False,,
336,"Pelo jeito será realizado o quarto sorteio, porque apenas uma pessoa respondeu a nossa tentativa de comunicação.",False,,
337,"Olá Marco, tudo bom? Acabamos de enviar para você número do seu cupom de desconto e quais são passos para você pode possa utiliza-lo. Qualquer dúvida é só entrar em contato.",False,,
338,"Olá Hudson tudo bom? enviamos uma mensagem privada para você pelo Facebook da MKX, a empresa que cuida das redes sociais da Casa da Bebida, verifique se essa mensagem não acabou indo em outras no seu perfil. Caso realmente não encontrei nossa mensagem, mande um e-mail de contato para que possamos enviar o número do seu cupom de desconto.",False,,
339,HAUHAU..,False,,
340,kkkkkkkk,False,,
341,Bemmmm por ai mesmo kkk,False,,
342,parece augus amigos meu kkkkkkk,False,,
343,Casa da Bebida assim vc me mata !!  Com essas promoções de ABSOLUT!!!...,False,,
344,Casa da Bebida!! Quando vcs vão começar a vender a Absolut RIO !!!,False,,
345,"Carlos Eduardo tudo bom? Não temos uma data prevista, mas assim que a importadora disponibilizar o produto iremos adicionar ao nosso catalogo.",False,,
346,Casa da Bebida assim vc me mata !!  Com essas promoções de ABSOLUT!!!...,False,[0. 0. 1.],2.0
347,Casa da Bebida!! Quando vcs vão começar a vender a Absolut RIO !!!,False,,
348,"Carlos Eduardo tudo bom? Não temos uma data prevista, mas assim que a importadora disponibilizar o produto iremos adicionar ao nosso catalogo.",False,,
349,Agora sim algo que realmente combina comigo...Adoro ser de escorpião ;),False,,
350,"Tem um erro, pois gosto de todas kkkk",False,,
351,Obaaa...  quem sabe eu ganho da próxima vez..   =/    ;D,False,[0. 0. 1.],2.0
352,Obaaa...  quem sabe eu ganho da próxima vez..   =/    ;D,False,,
353,Gabriel Rosa quem sabe você ganha na próxima promoção.,False,,
354,"Carlos, tudo bom? Estamos verificando os cupons e os participantes, logo iremos divulgar os ganhadores.",False,,
355,Oky.. Estou mtu ansioso !! por esse resultado... espero ter ganhado pelo menos 1 !!! para compra minha absolut vanilla!!,False,,
356,"Casa da Bebida , ansiedade a mil aqui também! \o/ \o/",False,,
357,Obaaaa,False,,
358,"Nossa que muito ganhar , para que no carnaval eu possa comemorar \o/",False,,
359,Um será meu..pra tornar meu carnaval mais feliz..rs,False,,
360,Isso mesmo pessoal pensamento positivo e vamos indicar a promoção para aumentar as chances de ganhar o prêmio.,False,,
361,humm delicia =D Vemm >>> Carla Danielle Sandra Crezi Sandra Carvalho Glendha Mvb Michelle Menezes Amanda Barnabé Lis Oll =D,False,,
362,@VEM DRICA,False,,
363,VEM Drica Ferreira Tais Freitas Jaque Nunciato Glendha Mvb Nemesio Cruz Ingrid Soares Dos Reis Raianny Maccari Alessandra Kaji Joice Olive,False,,
364,meu sonho ..,False,,
365,"Adriana Lopes Gonçalves  seu sonho pode se tornar realidade com a Casa da Bebida. Convide seus amigos, assim você aumenta as suas chances de ganhar.",False,,
366,PARTICIPANDO!,False,,
367,"sim já convidei pelo aplicativo , torcendo muito ..",False,,
368,"já estou aqui Adriana Lopes Gonçalves,valeu pelo convite.",False,,
369,convidando também.,False,,
370,Eu quero... Vem Cleia Nascimento Carla Do Dinho II Jaiane Silva Thaina Caroline Danielle Lopes Mariana Nobre,False,,
371,VEM GALERA SÃO 10 VALE-COMPRAS Vivian De Cassia Viviane Borges Fabricio Alexandre da Silva Joelma Fabricio Cíntia Rodrigues Luana Lambert Luara Kerlen Jéssica Ferreira Eduarda Martins Filipe Alexandre @feli,False,,
372,Felipe Bernardo Daiane Baptista Claudia Regina Fernanda Prado Vicco Fernanda Ferrari Angela Ferreira da Silva Cristiane Gouvea Domingues Simone MF Marcela Regina Oliveira Michele Monte Alto,False,,
373,Alessandra Kaji Abraao Cavalcanti Danielle Lopes Carla Do Dinho II Regis da Gavea Patricia Pierazo Dani Valerio Thamires Bittencourt Alexsandro Zago Rubens Souza,False,,
374,absolutttttt,False,,
